Epoch 1, diffusion: 0.0888
Epoch 2, diffusion: 0.0546
Epoch 3, diffusion: 0.0519
Epoch 4, diffusion: 0.0505
Epoch 5, diffusion: 0.0493
Epoch 6, diffusion: 0.0487
Epoch 7, diffusion: 0.0480
Epoch 8, diffusion: 0.0476
Epoch 9, diffusion: 0.0472
Epoch 10, diffusion: 0.0469
Epoch 11, diffusion: 0.0466
Epoch 12, diffusion: 0.0464
Epoch 13, diffusion: 0.0462
Epoch 14, diffusion: 0.0460
Epoch 15, diffusion: 0.0459
Epoch 16, diffusion: 0.0456
Epoch 17, diffusion: 0.0454
Epoch 18, diffusion: 0.0454
Epoch 19, diffusion: 0.0452
Epoch 20, diffusion: 0.0452
Epoch 21, diffusion: 0.0449
Epoch 22, diffusion: 0.0448
Epoch 23, diffusion: 0.0447
Epoch 24, diffusion: 0.0446
Epoch 25, diffusion: 0.0444
Epoch 26, diffusion: 0.0444
Epoch 27, diffusion: 0.0443
Epoch 28, diffusion: 0.0442
Epoch 29, diffusion: 0.0440
Epoch 30, diffusion: 0.0440
Epoch 31, diffusion: 0.0439
Epoch 32, diffusion: 0.0438
Epoch 33, diffusion: 0.0437
Epoch 34, diffusion: 0.0436
Epoch 35, diffusion: 0.0435
Epoch 36, diffusion: 0.0435
Epoch 37, diffusion: 0.0434
Epoch 38, diffusion: 0.0434
Epoch 39, diffusion: 0.0432
Epoch 40, diffusion: 0.0433
Epoch 41, diffusion: 0.0432
Epoch 42, diffusion: 0.0431
Epoch 43, diffusion: 0.0431
Epoch 44, diffusion: 0.0431
Epoch 45, diffusion: 0.0431
Epoch 46, diffusion: 0.0431
Epoch 47, diffusion: 0.0430
Epoch 48, diffusion: 0.0430
Epoch 49, diffusion: 0.0430
Epoch 50, diffusion: 0.0430
